human_code,cefr,country,sex,genre,language_env
WE_CHN_001,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_002,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_003,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_004,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_005,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_006,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_007,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_008,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_009,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_010,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_011,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_012,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_013,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_014,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_015,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_016,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_017,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_018,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_019,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_020,B1_1,CHN,F,Humanities,EFL
WE_CHN_021,A2_0,CHN,F,Humanities,EFL
WE_CHN_022,A2_0,CHN,F,Humanities,EFL
WE_CHN_023,B1_1,CHN,F,Humanities,EFL
WE_CHN_024,A2_0,CHN,F,Humanities,EFL
WE_CHN_025,B1_1,CHN,F,Humanities,EFL
WE_CHN_026,A2_0,CHN,F,Humanities,EFL
WE_CHN_027,B1_1,CHN,F,Humanities,EFL
WE_CHN_028,B2_0,CHN,F,Sciences & Technology,EFL
WE_CHN_029,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_030,B1_2,CHN,M,Sciences & Technology,EFL
WE_CHN_031,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_032,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_033,B1_2,CHN,F,Sciences & Technology,EFL
WE_CHN_034,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_035,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_036,B1_1,CHN,M,Sciences & Technology,EFL
WE_CHN_037,B1_1,CHN,F,Sciences & Technology,EFL
WE_CHN_038,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_039,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_040,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_041,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_042,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_043,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_044,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_045,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_046,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_047,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_048,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_049,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_050,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_051,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_052,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_053,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_054,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_055,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_056,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_057,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_058,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_059,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_060,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_061,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_062,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_063,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_064,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_065,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_066,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_067,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_068,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_069,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_070,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_071,A2_0,CHN,M,Social Sciences,EFL
WE_CHN_072,A2_0,CHN,F,Social Sciences,EFL
WE_CHN_073,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_074,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_075,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_076,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_077,B1_1,CHN,M,Social Sciences,EFL
WE_CHN_078,B1_2,CHN,F,Social Sciences,EFL
WE_CHN_079,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_080,B1_1,CHN,F,Social Sciences,EFL
WE_CHN_081,B1_1,CHN,F,Social Sciences,EFL
